group,gene,n_pairs,median_primary,median_relapse,log2FC_relapse_vs_primary,n_increased_at_relapse,n_decreased_at_relapse,paired_ttest_p,wilcoxon_p
Group 3 MB,LRG1,5,0.1218092658390998,0.1250724475798228,-0.1218092658390998,2,3,0.5446656203916601,0.625
Group 3 MB,CD74,5,4.639065276911184,5.026176702184715,0.3028136803777306,3,2,0.48665937069937854,0.625
Group 3 MB,MIF,5,0.0,0.0,0.0,2,2,0.8447972812568395,0.875
Group 3 MB,EMILIN3,5,1.3725107996890755,1.0039797014500385,-0.13198892606502155,2,3,0.32867113417150673,0.4375
Group 3 MB,ENG,5,4.49293204073257,5.072372104503812,-0.17221956134780925,2,3,0.5914637627945913,1.0
Group 3 MB,ITGB1,5,7.155132359507851,7.878262880837167,0.37669496902070154,5,0,0.07448963850511017,0.0625
Group 3 MB,PTK2,5,7.82708168505149,8.015833587555178,-0.009221082255260526,2,3,0.8978034926169849,1.0
Group 3 MB,angio_score,5,-0.40653610296878334,-0.19098056010574566,0.14367651233064516,3,2,0.37888308068860216,0.4375
Group 4 MB,LRG1,12,0.09641523908967159,0.14628851235428642,0.0719020681795754,8,3,0.0839040128935606,0.123046875
Group 4 MB,CD74,12,4.662665377335264,5.33280945762556,0.7205811160310147,8,4,0.34682006941461885,0.20361328125
Group 4 MB,MIF,12,0.0,0.0,0.0,4,4,0.7222258952820485,0.84375
Group 4 MB,EMILIN3,12,0.6317176701661862,0.7946314508294725,0.15073526961545122,10,2,0.1913556850283493,0.0771484375
Group 4 MB,ENG,12,4.575599084663178,4.872686893441976,0.3323704244353265,9,3,0.1331034117475157,0.10986328125
Group 4 MB,ITGB1,12,7.877940825841242,8.299024783506827,0.7239913489481169,8,4,0.14447395625301152,0.09228515625
Group 4 MB,PTK2,12,8.482792956739777,8.202408097166789,-0.1612029612579171,5,7,0.6305904646111025,0.5693359375
Group 4 MB,angio_score,12,-0.4313800245746089,-0.16336701622008554,0.29032898453707745,10,2,0.05758436364335098,0.05224609375
SHH-MB,LRG1,24,0.0749238758640009,0.03867076700043945,-0.012978147339505298,8,12,0.5149592221009954,0.5015913016269502
SHH-MB,CD74,24,5.53008295932979,5.637462006147247,0.16349861382508557,13,11,0.9491768949013234,0.6431422233581543
SHH-MB,MIF,24,0.0986969614361972,0.0,0.0,7,11,0.05809345043366409,0.05262434185535094
SHH-MB,EMILIN3,24,3.4348862986342543,3.453083637085236,-0.4520214039604309,9,15,0.06311165201946652,0.07872927188873291
SHH-MB,ENG,24,4.888152859473864,4.797541153468283,-0.17406580033707764,10,14,0.6984888226300455,0.5838061571121216
SHH-MB,ITGB1,24,7.804346655115811,8.255757707102823,0.41354408164824186,20,4,0.0010547491216705643,0.0009626150131225586
SHH-MB,PTK2,24,8.30580164596932,8.364034880867202,0.12875947489968276,16,8,0.1946911904564019,0.22918963432312012
SHH-MB,angio_score,24,0.15311464859310936,0.11172494108707486,0.11362392157588724,13,11,0.717414530757975,0.899570107460022
